STAT_DATE,XMMC,year,month,day
2016-08-02,(B)冬瓜(半),2016,8,2
2016-08-03,(B)冬瓜(半),2016,8,3
2016-08-04,(B)冬瓜(半),2016,8,4
2016-08-05,(B)冬瓜(半),2016,8,5
2016-08-06,(B)冬瓜(半),2016,8,6
2016-08-07,(B)冬瓜(半),2016,8,7
2016-08-08,(B)冬瓜(半),2016,8,8
2016-08-09,(B)冬瓜(半),2016,8,9
2016-08-10,(B)冬瓜(半),2016,8,10
2016-08-11,(B)冬瓜(半),2016,8,11
2016-08-12,(B)冬瓜(半),2016,8,12
2016-08-13,(B)冬瓜(半),2016,8,13
2016-08-14,(B)冬瓜(半),2016,8,14
2016-08-15,(B)冬瓜(半),2016,8,15
2016-08-16,(B)冬瓜(半),2016,8,16
2016-08-17,(B)冬瓜(半),2016,8,17
2016-08-18,(B)冬瓜(半),2016,8,18
2016-08-19,(B)冬瓜(半),2016,8,19
2016-08-20,(B)冬瓜(半),2016,8,20
2016-08-21,(B)冬瓜(半),2016,8,21
2016-08-22,(B)冬瓜(半),2016,8,22
2016-08-23,(B)冬瓜(半),2016,8,23
2016-08-24,(B)冬瓜(半),2016,8,24
2016-08-25,(B)冬瓜(半),2016,8,25
2016-08-26,(B)冬瓜(半),2016,8,26
2016-08-27,(B)冬瓜(半),2016,8,27
2016-08-28,(B)冬瓜(半),2016,8,28
2016-08-29,(B)冬瓜(半),2016,8,29
2016-08-30,(B)冬瓜(半),2016,8,30
2016-08-31,(B)冬瓜(半),2016,8,31
2016-09-01,(B)冬瓜(半),2016,9,1
2016-09-02,(B)冬瓜(半),2016,9,2
2016-09-03,(B)冬瓜(半),2016,9,3
2016-09-04,(B)冬瓜(半),2016,9,4
2016-09-05,(B)冬瓜(半),2016,9,5
2016-09-06,(B)冬瓜(半),2016,9,6
2016-09-07,(B)冬瓜(半),2016,9,7
2016-09-08,(B)冬瓜(半),2016,9,8
2016-09-09,(B)冬瓜(半),2016,9,9
2016-09-10,(B)冬瓜(半),2016,9,10
2016-09-11,(B)冬瓜(半),2016,9,11
2016-09-12,(B)冬瓜(半),2016,9,12
2016-09-13,(B)冬瓜(半),2016,9,13
2016-09-14,(B)冬瓜(半),2016,9,14
2016-09-15,(B)冬瓜(半),2016,9,15
2016-09-16,(B)冬瓜(半),2016,9,16
2016-09-17,(B)冬瓜(半),2016,9,17
2016-09-18,(B)冬瓜(半),2016,9,18
2016-09-19,(B)冬瓜(半),2016,9,19
2016-09-20,(B)冬瓜(半),2016,9,20
2016-09-21,(B)冬瓜(半),2016,9,21
2016-09-22,(B)冬瓜(半),2016,9,22
2016-09-23,(B)冬瓜(半),2016,9,23
2016-09-24,(B)冬瓜(半),2016,9,24
2016-09-25,(B)冬瓜(半),2016,9,25
2016-09-26,(B)冬瓜(半),2016,9,26
2016-09-27,(B)冬瓜(半),2016,9,27
2016-09-28,(B)冬瓜(半),2016,9,28
2016-09-29,(B)冬瓜(半),2016,9,29
2016-09-30,(B)冬瓜(半),2016,9,30
2016-10-01,(B)冬瓜(半),2016,10,1
2016-10-02,(B)冬瓜(半),2016,10,2
2016-10-03,(B)冬瓜(半),2016,10,3
2016-10-04,(B)冬瓜(半),2016,10,4
2016-10-05,(B)冬瓜(半),2016,10,5
2016-10-06,(B)冬瓜(半),2016,10,6
2016-10-07,(B)冬瓜(半),2016,10,7
2016-10-08,(B)冬瓜(半),2016,10,8
2016-10-09,(B)冬瓜(半),2016,10,9
2016-10-10,(B)冬瓜(半),2016,10,10
2016-10-11,(B)冬瓜(半),2016,10,11
2016-10-12,(B)冬瓜(半),2016,10,12
2016-10-13,(B)冬瓜(半),2016,10,13
2016-10-14,(B)冬瓜(半),2016,10,14
2016-10-15,(B)冬瓜(半),2016,10,15
2016-10-16,(B)冬瓜(半),2016,10,16
2016-10-17,(B)冬瓜(半),2016,10,17
2016-10-18,(B)冬瓜(半),2016,10,18
2016-10-19,(B)冬瓜(半),2016,10,19
2016-10-20,(B)冬瓜(半),2016,10,20
2016-10-21,(B)冬瓜(半),2016,10,21
2016-10-22,(B)冬瓜(半),2016,10,22
2016-10-23,(B)冬瓜(半),2016,10,23
2016-10-24,(B)冬瓜(半),2016,10,24
2016-10-25,(B)冬瓜(半),2016,10,25
2016-10-26,(B)冬瓜(半),2016,10,26
2016-10-27,(B)冬瓜(半),2016,10,27
2016-10-28,(B)冬瓜(半),2016,10,28
2016-10-29,(B)冬瓜(半),2016,10,29
2016-10-30,(B)冬瓜(半),2016,10,30
2016-10-31,(B)冬瓜(半),2016,10,31
2016-11-01,(B)冬瓜(半),2016,11,1
2016-11-02,(B)冬瓜(半),2016,11,2
2016-11-03,(B)冬瓜(半),2016,11,3
2016-11-04,(B)冬瓜(半),2016,11,4
2016-11-05,(B)冬瓜(半),2016,11,5
2016-11-06,(B)冬瓜(半),2016,11,6
2016-11-07,(B)冬瓜(半),2016,11,7
2016-11-08,(B)冬瓜(半),2016,11,8
